(14909, 645, -2345, -6342) (674, 394, 1803)
(14950, 646, -2315, -6258) (708, 266, 1802)
(14988, 659, -2285, -6175) (721, 216, 1739)
(15023, 684, -2251, -6099) (698, 256, 1690)
(15056, 715, -2217, -6027) (622, 448, 1789)
(15088, 710, -2165, -5966) (566, 441, 1790)
(15119, 683, -2105, -5911) (472, 384, 1828)
(15147, 657, -2047, -5864) (409, 352, 1814)
(15170, 656, -1992, -5821) (341, 357, 1785)
(15192, 675, -1940, -5780) (198, 490, 1827)
(15216, 657, -1875, -5740) (209, 395, 1766)
(15238, 636, -1808, -5706) (208, 276, 1746)
(15254, 635, -1737, -5684) (175, 300, 1740)
(15266, 638, -1657, -5675) (43, 416, 1872)
(15278, 627, -1565, -5673) (-131, 451, 1923)
(15288, 577, -1468, -5675) (-108, 211, 1866)
(15297, 553, -1387, -5674) (-58, 97, 1847)
(15301, 587, -1323, -5676) (-63, 229, 1799)
(15303, 638, -1262, -5677) (-91, 319, 1926)
(15305, 689, -1202, -5679) (-140, 361, 1958)
(15308, 719, -1137, -5681) (-95, 198, 2019)
(15315, 766, -1071, -5668) (-63, 226, 1960)
(15323, 816, -1003, -5654) (-29, 186, 2023)
(15327, 867, -942, -5644) (-30, 283, 2087)
(15328, 907, -884, -5647) (-143, 421, 2217)
(15332, 931, -857, -5636) (-38, 441, 2140)
(15337, 930, -842, -5624) (46, 265, 2042)
(15337, 1000, -850, -5611) (138, 171, 1776)
(15333, 1098, -877, -5600) (118, 339, 1868)
(15331, 1174, -912, -5585) (188, 463, 1892)
(15333, 1184, -928, -5575) (186, 428, 1843)
(15337, 1156, -926, -5569) (153, 321, 1854)
(15342, 1128, -922, -5561) (144, 310, 1907)
(15349, 1115, -921, -5545) (124, 317, 1951)
(15355, 1109, -924, -5528) (127, 278, 1927)
(15361, 1111, -929, -5511) (107, 284, 1901)
(15365, 1113, -932, -5499) (88, 323, 1900)
(15369, 1103, -931, -5489) (88, 323, 1899)
(15374, 1093, -933, -5478) (111, 316, 1922)
(15378, 1088, -940, -5466) (149, 274, 1907)
(15382, 1098, -953, -5450) (174, 288, 1896)
(15386, 1112, -965, -5435) (157, 317, 1858)
(15391, 1112, -972, -5419) (136, 318, 1897)
(15396, 1106, -975, -5405) (123, 295, 1895)
(15402, 1105, -980, -5387) (130, 312, 1914)
(15408, 1104, -986, -5368) (138, 308, 1916)
(15414, 1108, -996, -5348) (167, 291, 1895)
(15420, 1122, -1008, -5327) (167, 321, 1875)
(15425, 1138, -1017, -5308) (147, 369, 1872)
(15429, 1144, -1023, -5294) (144, 362, 1880)
(15432, 1150, -1027, -5281) (139, 354, 1900)
(15436, 1151, -1032, -5269) (148, 364, 1904)
(15440, 1145, -1034, -5260) (147, 319, 1908)
pose Pose.REST
(15442, 1147, -1039, -5251) (156, 304, 1881)
(15444, 1153, -1043, -5242) (153, 323, 1870)
(15446, 1158, -1045, -5235) (131, 331, 1860)
(15448, 1158, -1050, -5229) (120, 331, 1908)
(15449, 1150, -1053, -5228) (141, 284, 1919)
(15448, 1160, -1058, -5228) (138, 349, 1886)
(15447, 1166, -1067, -5227) (184, 394, 1890)
(15447, 1170, -1077, -5224) (210, 342, 1877)
(15446, 1178, -1088, -5222) (203, 318, 1891)
(15444, 1194, -1096, -5222) (160, 343, 1902)
